Name,Email,Url,Phone,Security,Status,Latency
Komaistalento-Restaurante e Galeria de Arte Lda,Not Listed,http://www.restauranteitamae.com,Not Listed,False,CONNECTION_REFUSED,999
Rúbricafresca  Lda,reservas@oficinaporto.com,http://www.oficinaporto.com,Not Listed,False,200,0.3
Miranda & Valdemar Lda,madureira-valdemar@mail.com,http://www.madureiraevaldemar.com,Not Listed,False,CONNECTION_REFUSED,999
"Ar de Issa-Restauração & Serviços,Unipessoal Lda",geral@ardeissa.com,http://laandaluzaporto.pt,Not Listed,False,CONNECTION_REFUSED,999
Restaurante Scala Palace,Not Listed,http://www.restaurantespalace.com,223252815,False,CONNECTION_REFUSED,999
Restaurante Nova Europa,Not Listed,http://www.rest-novaeuropa.com,Not Listed,False,CONNECTION_REFUSED,999
Restaurante Portas de São Roque,portasdesaoroque@gmail.com,http://www.portasdesaoroque.com,225104829,False,CONNECTION_REFUSED,999
Henrique das Neves-Bebidas & Restauração Unipessoal Lda,s.martinho.confeitaria@gmail.com,http://saomartinhorestaurante.pt,Not Listed,False,CONNECTION_REFUSED,999
Lits-International Trade & Services Lda,Not Listed,http://www.famousdog.pt,Not Listed,False,200,0.19
Churrasqueira do Mar,tim.cdt@hotmail.com,http://www.churrasqueiradomar.com,Not Listed,False,CONNECTION_REFUSED,999
Swallow Decadent Brunch Lda,info@swallowbrunch.com,http://www.swallowbrunch.com,Not Listed,False,CONNECTION_REFUSED,999
Luigis Porto,luigisporto@gmail.com,http://www.luigis.pt,Not Listed,False,CONNECTION_REFUSED,999
Restaurante O Carteiro,ocarteiro@guiadosrestaurantes.net,http://www.netmenu.pt/ocarteiro,Not Listed,False,CONNECTION_REFUSED,999
Silviacosta Unipessoal Lda,dagomes_86@hotmail.com,http://www.restaurantevt.pt,Not Listed,False,CONNECTION_REFUSED,999
Liquibar Lda,Not Listed,http://www.pitch-club.com,222012349,False,200,1.07
Giro Burguer,Not Listed,http://www.giroburguer.pt,222458359,False,CONNECTION_REFUSED,999
Apetites Freezz,mail@apetites.pt,http://www.apetites.pt,226187263,False,200,1.17
Gambamar-Actividades Hoteleiras Lda,gambamar@sapo.pt,http://www.gambamar.pt,Not Listed,False,CONNECTION_REFUSED,999
Lucinda Costa Unipessoal Lda,geral@aiguaria.pt,http://aiguaria-takeaway.pt,Not Listed,False,CONNECTION_REFUSED,999
Portotxotx Lda,info@sagardi.pt,http://sagardi.pt,Not Listed,False,TIMEOUT,>5s
"Indústria Hoteleira Lda,R F",Not Listed,http://www.restfdcao.8m.com/,226178303,False,CONNECTION_REFUSED,999
Angelina & Rocha Lda,restmauritania@net.vodafone.pt,http://www.restaurantemauritania.com,Not Listed,False,200,0.61
Rajão & Torres Lda,arturmoreira64@hotmail.com,http://www.restaurantesmauritania.com,229371363,False,TIMEOUT,>5s
Ristorante Toscano,restaurantetoscano@sapo.pt,http://www.restaurantetoscano.com,914915080,False,CONNECTION_REFUSED,999
Feito em Casa Indústria Hoteleira Lda,Not Listed,http://www.feitoemcasa.com,Not Listed,False,200,0.54
Sushi Douro,geralsushidouro@gmail.com,http://sushidouro.pt,Not Listed,False,CONNECTION_REFUSED,999
Andor Violeta Lda,geral@andorvioleta.com,http://andorvioleta.com/,Not Listed,False,CONNECTION_REFUSED,999
Poço de Surpresas Lda,mail@espacodivinos.com,http://www.espacodivinos.com,Not Listed,False,CONNECTION_REFUSED,999
Ciência à Mesa Lda,teteateteporto@gmail.com,http://www.restaurante-tete-tete.com,Not Listed,False,CONNECTION_REFUSED,999
Restaurante Industrial,geral@restauranteindustrial.com.pt,http://www.restauranteindustrial.com.pt,226177916,False,CONNECTION_REFUSED,999
Huva Wine Bar & Store,info@huva.pt,http://www.huva.pt,918363609,False,CONNECTION_REFUSED,999
Rocha & Ferreira Lda,geral@restaurantemariazinha.com,http://www.mariazinha.pa-net.pt,Not Listed,False,CONNECTION_REFUSED,999
Sushichef Lda,sushihana.pt@gmail.com,http://www.sushihana.com.pt,Not Listed,False,CONNECTION_REFUSED,999
Espaço Bar,Not Listed,http://espacobar.negocio.site,936561140,False,404,0.24
José Fernando Freitas Gonçalves,ofreitasmail@gmail.com,http://www.restauranteofreitas.pt,Not Listed,False,CONNECTION_REFUSED,999
Churrasqueira Frangocom Unipessoal Lda,Not Listed,http://churrasqueira-petisqueira-do-freixo.business.site,Not Listed,False,404,0.59
Universidade Lusófona Bar Cantina,Not Listed,http://www.ulp.pt,Not Listed,True,403,0.52
4 Royal,Not Listed,http://4royal.pt/,222459625,False,CONNECTION_REFUSED,999
World Delicious Unipessoal Lda,pizzaexpresso91@yahoo.com,http://www.pizzaexpresso.pt,226099176,False,CONNECTION_REFUSED,999
Restaurante Pizzaria Pizza & Drinks,rest@pizzadrinks.com,http://www.pizzadrinks.com,Not Listed,False,CONNECTION_REFUSED,999
Restaurante Dona Picanha,geral@donapicanha.pt,http://www.donapicanha.pt,224920292,True,401,0.44
Francesco Crivelli Lda,sergio@sergiocrivelli.com,http://www.pastafrescaepizza.com,Not Listed,False,CONNECTION_REFUSED,999
Restaurante Dom Zeferino Lda,domzeferino@hotmail.com,http://www.donzeferino.com,229372273,False,CONNECTION_REFUSED,999
Carmelita Bistrô,geral@carmelitabistro.pt,http://www.carmelitabistro.pt,223194980,False,CONNECTION_REFUSED,999
Adérito Santos Rodrigues São-Pedro,geral@restaurantesaopedro.net,http://www.restaurantesaopedro.net,Not Listed,False,CONNECTION_REFUSED,999
Travesso Restaurante & Bar,Not Listed,http://www.travessorestaurante.pt/,916021053,False,CONNECTION_REFUSED,999
Restaurante Inês do Aleixo,inesdoaleixo.restaurante@gmail.com,http://www.inesdoaleixo.restaurante.com,225106988,False,200,0.61
Restaurante Pé de Arroz Lda,geral@pedarroz.pt,http://www.pedearroz.pt/menu,Not Listed,False,CONNECTION_REFUSED,999
Multiultra-Restaurante e Representações Lda,geral@tram.pt,http://www.giroflee.com.pt/,Not Listed,False,CONNECTION_REFUSED,999
Cais Picanha,secretsanddreams@hotmail.com,http://caisdopeixe.pt,223758017,False,CONNECTION_REFUSED,999
Restaurante Fonte d`Ouro,restaurantefontedouro@hotmail.com,http://www.restaurantefontedouro.pa-net.pt,251824004,False,CONNECTION_REFUSED,999
Mi Come Unipessoal Lda,antonioamorim78@hotmail.com,http://flordemar2019.negocio.site,Not Listed,False,404,0.25
Mr Grill Restaurant Bar,geral@restaurantemrgrill.com,http://www.restaurantemrgrill.com,Not Listed,False,CONNECTION_REFUSED,999
Carvalho & Madureira Lda,Not Listed,http://www.casadaqiu.com,Not Listed,True,200,4.06
Msd Lda,restaurantetop88@gmail.com,http://www.restaurantetop.pt,Not Listed,False,CONNECTION_REFUSED,999
Simone & Rui Resende Lda,reservas@hamburgueriadabila.pt,http://hamburgueriadabila.pt,Not Listed,False,CONNECTION_REFUSED,999
Sumô-Restauração Hoteleira Lda,geral@restaurantesumo.com,http://www.restaurantesumo.com,223750512,False,CONNECTION_REFUSED,999
Pizzaria Restaurante Dom Gancho,Not Listed,http://www.domgancho.com,Not Listed,False,CONNECTION_REFUSED,999
D. Tonho Restaurante e Bar Lda,porto@dtonho.com,http://www.dtonho.com,Not Listed,True,526,0.53
Restaurante 7 groaster,Not Listed,http://www.7groaster.com,963781916,False,CONNECTION_REFUSED,999
Rabanadas da Maria,rabanadasdamaria@gmail.com,http://www.rabanadasdamaria.com/,915076731,False,CONNECTION_REFUSED,999
Restaurante Davilina,restaurante.davilina@gmail.com,http://www.restaurantedavilina.com.pt,223719340,False,CONNECTION_REFUSED,999
Matos Cardoso e Sequeira Lda,grupo-inglesa@churrasqueira-inglesa.com,http://www.churrasqueira-inglesa.com,Not Listed,False,CONNECTION_REFUSED,999
Edo-Actividades Hoteleiras Unipessoal Lda,vinotinto@clix.pt,http://www.vinotintoparrilla.com,926297336,False,CONNECTION_REFUSED,999
"Tosco,O",dianaesebastiao@hotmail.com,http://cafe-restaurante-o-tosco.negocio.site,936792401,False,404,0.24
Freitas & Futuro Lda,Not Listed,http://a-casa-brioche.negocio.site,Not Listed,False,404,0.24
Cais de Gaia-Hotelaria Lda,Not Listed,http://www.bacalhoeiro.com,Not Listed,False,CONNECTION_REFUSED,999
OpoClub,Not Listed,http://www.opoclub.com/gallery,Not Listed,False,CONNECTION_REFUSED,999
Assador Típico de Gaia-Indústria Hoteleira Lda,Geral@oassador.pt,http://www.assadortipico.pt,Not Listed,True,404,0.29
Temple-Sushi & Grill,Not Listed,http://www.templesushi.pt/contactos/,224102912,True,404,0.84
Jalmeida-Catering Lda,geral@jalmeidacatering.com,http://www.jalmeida.pt,Not Listed,False,404,0.76
Repasto Tapas & Wine,geral@repasto.pt,http://www.repasto.pt,Not Listed,False,CONNECTION_REFUSED,999
Churrasqueira da Pinta Lda,Not Listed,http://www.churrasqueiradapinta.com,229448815,False,TIMEOUT,>5s
Maiaburguer-Actividades Hoteleiras Lda,maiaburger@hotmail.com,http://www.tropicalburguer.com,Not Listed,False,200,0.79
Restaurante Margem Douro,margemdouro@margemdouro.pt,http://www.margemdouro.pt,Not Listed,False,CONNECTION_REFUSED,999
Quinta dos Choupos-Actividades Hoteleiras e Agrícolas Lda,choupal@quintadoschoupos.com,http://www.quintadoschoupos.com,224809223,False,200,0.43
Maria J A R Sousa Azevedo,Not Listed,http://tasquinha-sao-jose.business.site,224831558,False,404,0.28
Churrasqueira Dom Brasas,dombrasas@netcabo.pt,http://www.dombrasas.pt,224673097,False,CONNECTION_REFUSED,999
Churrasqueira de Valongo,churrasqueirabaltar@gmail.com,http://churrasqueiradebaltar.valedosousa.net/,224210223,False,CONNECTION_REFUSED,999
Mr. V. Restaurante Lda,geral@misterchurrasco.pt,http://misterchurrasco.pt,Not Listed,False,200,0.36
Caffé Francesinhas FF,Not Listed,http://www.ffcaffe.pt,917051638,False,CONNECTION_REFUSED,999
Café Bar São Gonçalo,mauriciosilva@iol.pt,http://www.cafebar-amarante.com,255432707,False,CONNECTION_REFUSED,999
Norberto Ribeiro Unipessoal Lda,Not Listed,http://www.msantosfurniture.com,Not Listed,False,200,0.68
Café O Conde,Not Listed,http://cafeoconde.negocio.site,255105423,False,404,0.24
Monteiro & Esteves Lda,geral@restauranteprincipe.net,http://www.restauranteprincipe.net,Not Listed,False,CONNECTION_REFUSED,999
António Gonçalves Carvalho,Not Listed,http://www.restaurantesobreiro.com,Not Listed,False,CONNECTION_REFUSED,999
Tormes-Restaurante Lda,restaurantedetormes@gmail.com,http://www.restaurantedetormes.com,916252664,False,200,0.99
Dobairro116 Lda,Not Listed,http://dobairro116.pt,Not Listed,False,TIMEOUT,>5s
Caraibas-Pão Quente,Not Listed,http://cafe-pao-quente-caraibas.business.site,255924311,False,404,0.24
Pizzaria Bela Cidade Lda,geral@pizzariabelacidade.pt,http://www.pizzariabelacidade.pt,Not Listed,False,CONNECTION_REFUSED,999
Restaurante Columbinos Lda,geral@restaurantecolumbinos.com,http://www.columbinos.pt,Not Listed,True,200,4.22
Manuel Fernando Silva Moreira,Not Listed,http://www.restaurantesantaquiteria.pa-net.pt,Not Listed,False,CONNECTION_REFUSED,999
Rocha & Leonor Lda,maresemares@sapo.pt,http://www.maresemares.com,255924708,False,CONNECTION_REFUSED,999
José Almeida Ferreira,j.mf.f@hotmail.com,http://www.restaurantesaojose.pt,Not Listed,False,CONNECTION_REFUSED,999
Restaurante Casa do Sobrado Lda,Not Listed,http://www.casadosobrado.com,Not Listed,False,CONNECTION_REFUSED,999
Sabores d`Amanda Concept Restaurant,afterhoursvilamoura@gmail.com,https://www.restaurantevilamouraafterhours.pt,913709690,False,CONNECTION_REFUSED,999
Restaurante Ti Gracinda dos Leitões,pauloleitoes@hotmail.com,http://restaurantetigracinda.pt/pt,212180723,True,404,0.32
Restaurante O Forno,geral@restauranteoforno.pt,https://restauranteoforno.pt/pt,243241163,True,404,0.31
Restaurante Típico O Faia - Casa de Fados,info@ofaia.com,http://www.ofaia.com/,213421923,False,200,0.62
Restaurante A Grade,grade.restaurante@gmail.com,http://graderestaurante.pt/pt,229955761,True,404,0.28
Kaffeehaus,kaffeehaus.chiado@gmail.com,https://www.kaffeehaus-lisboa.com,210956828,True,200,5.08
Restaurante La Bella Vita,premlalwani@mail.telepac.pt,http://bella-vita.pt/,282358556,False,200,1.03
Restaurante As Três Naus Lda,quintas-jose@hotmail.com,http://3naus.pt/site/,241855333,False,200,2.03
Restaurante Cervejaria Barcabela,cervejariabarcabela@gmail.com,https://cervejariabarcabela.com,218863567,False,CONNECTION_REFUSED,999
Restaurante Albatroz,restaurante.albatroz.lda@gmail.com,http://www.restaurantealbatroz.pt/,239913532,False,200,0.18
Restaurante Cachalote,Not Listed,http://restaurantecachalote.com/pt,291853180,False,200,0.4
Restaurante-Bar Caldeiras & Vulcões,Not Listed,http://caldeirasevulcoes.com/,296584312,False,200,1.95
Restaurante O Regional,info@restauranteoregional.pt,http://restauranteoregional.pt,261921258,False,CONNECTION_REFUSED,999
Restaurante Snack-Bar do Alívio,restaurantedoalivio@gmail.com,http://www.restaurantedoalivio.com,253322106,False,CONNECTION_REFUSED,999
Restaurante Pina,pauloesandrapina@sapo.pt,http://restaurantepina.pt/pt,266707308,False,404,0.2
Restaurante Recanto dos Mouros,info@recantodosmouros.com,http://www.recantodosmouros.com/,282443240,False,TIMEOUT,>5s
Restaurante Bar Casa da Fonte,rest.casadafonte@hotmail.com,http://restaurantebarcasadafonte.pt/pt,289514578,True,404,0.35
Calça Curta Restaurante,RESTAURANTECALCACURTA@GMAIL.COM,https://www.faebook.com/restaurante.calcacurta/,278685255,True,400,0.12
Brasas Radiosas-Churrasqueira Unipessoal Lda,brasasradiosas@gmail.com,http://www.vendanova25.pt,234282960,False,CONNECTION_REFUSED,999
Restaurante Bella Vista,geral@conceitosdiferentes.pt,http://www.conceitosdiferentes.pt,916088800,False,TIMEOUT,>5s
Restaurante Residencial O Cedro,restaurante@ocedro.com,http://www.ocedro.com,255213551,False,200,1.44
Pizza & C Lda,Not Listed,http://pizzacompanhia.com,252688002,False,CONNECTION_REFUSED,999
Francesinhas Xl de P&r Correia Lda,francesinhasxl@hotmail.com,http://francesinhasxl.negocio.site,Not Listed,False,404,0.27
Manuel dos Leitoes,manuelleitoes@gmail.com,http://maneldosleitoes.pt,252612544,False,CONNECTION_REFUSED,999
Ristorante La Rocca,laroccapvz@gmail.com,http://www.restaurantelarocca.pt,Not Listed,False,CONNECTION_REFUSED,999
União Francesinhas,uniao.francesinhas@gmail.com,http://uniao-francesinhas.pt,252681680,False,200,0.3
Machado Macedo & Teixeira Lda,jdsmachado@gmail.com,http://www.restaurantealtomarpovoavarzim.pt,Not Listed,False,CONNECTION_REFUSED,999
Povoarest-Actividades de Restauração Lda,info@restaurantecaruso.com,http://www.restaurantecaruso.com,Not Listed,False,200,0.39
Restaurante Casa Cecília Lda,ceciliarestaurante@sapo.pt,http://www.netmenu.pt/alapa,Not Listed,False,CONNECTION_REFUSED,999
António M B Moreira Silva,info@budha-chill.com,http://www.budha-chill.com,252613699,False,CONNECTION_REFUSED,999
Ristorante Pizzeria Arlecchino,schincariolcristina@gmail.com,http://ristorantearlecchino.pt,252023532,False,CONNECTION_REFUSED,999
Porto Sal Restaurante Lda,portosalrestaurante@gmail.com,http://www.portosal.pt,Not Listed,False,CONNECTION_REFUSED,999
Restaurante Costa,costa@guiadosrestaurantes.net,http://www.restaurantecosta.com,252684139,False,200,0.95
Luís Queirós & Florbela-Restaurante Lda,Not Listed,http://restaurantealbatroz.blogspot.pt,252613515,False,200,0.88
Manuel Pedro Silva Ferreira,info@manjardosleitoes.com,http://manjardosleitoes.com,Not Listed,False,200,0.31
Restaurantes Bom Gosto,Not Listed,http://restaurante-bomgosto.pt.to/,252052349,False,CONNECTION_REFUSED,999
Café Restaurante Messinense,Not Listed,http://www.extremosul.net,Not Listed,False,200,0.53
